#Name	[Fe/H]	Dist	Distupperr Distlowerr	Av	Avuperr	Avlowerr	Y	Yuperr	Ylowerr	log(Age) log(Age)uperr log(Age)lowerr	Age(Gyr)	Age(Gyr)uperr	Age(Gyr)lowerr	RelativeAge
 NGC6838 	   -0.780 	   13.716   +0.008   -0.008    	   0.746   +0.002   -0.003    	   0.269   +0.004   -0.005    	   10.130   +0.000   -0.001    	   13.493   +0.007   -0.021    	   0.993 
 NGC6934 	   -1.470 	   16.283   +0.006   -0.006    	   0.379   +0.003   -0.004    	   0.328   +0.001   -0.003    	   10.092   +0.003   -0.003    	   12.368   +0.080   -0.073    	   0.368 
 NGC6981 	   -1.420 	   16.288   +0.007   -0.007    	   0.208   +0.006   -0.006    	   0.317   +0.006   -0.006    	   10.086   +0.004   -0.004    	   12.194   +0.113   -0.106    	   -0.556 
 NGC7006 	   -1.520 	   18.185   +0.017   -0.014    	   0.320   +0.012   -0.012    	   0.302   +0.011   -0.011    	   10.112   +0.008   -0.008    	   12.939   +0.229   -0.228    	   0.689 
 NGC7078 	   -2.370 	   15.431   +0.005   -0.008    	   0.294   +0.005   -0.002    	   0.330   +0.009   -0.001    	   10.130   +0.000   -0.000    	   13.499   +0.001   -0.005    	   0.249 
 NGC7089 	   -1.650 	   15.460   +0.007   -0.006    	   0.209   +0.005   -0.005    	   0.348   +0.006   -0.006    	   10.123   +0.003   -0.003    	   13.271   +0.091   -0.085    	   0.771 
 NGC7099 	   -2.270 	   14.769   +0.004   -0.004    	   0.172   +0.002   -0.002    	   0.337   +0.004   -0.004    	   10.130   +0.000   -0.000    	   13.499   +0.001   -0.005    	   0.249 
 Palomar1 	   -0.650   +0.000   -0.000    	   16.024   +0.044   -0.046    	   0.625   +0.021   -0.020    	   0.270   +0.015   -0.015    	   9.878   +0.019   -0.017    	   7.544   +0.333   -0.304    	   --- 
 Palomar12 	   -0.850 	   16.428   +0.018   -0.017    	   0.106   +0.012   -0.011    	   0.274   +0.011   -0.011    	   9.993   +0.009   -0.009    	   9.840   +0.196   -0.213    	   0.340 
 Palomar15 	   -2.070 	   19.383   +0.019   -0.023    	   1.398   +0.006   -0.008    	   0.325   +0.006   -0.012    	   10.130   +0.000   -0.001    	   13.489   +0.010   -0.036    	   0.489 
 Pyxis 	   -1.200 	   18.547   +0.016   -0.017    	   0.936   +0.016   -0.020    	   0.310   +0.014   -0.017    	   10.066   +0.014   -0.012    	   11.640   +0.371   -0.317    	   0.140 
 Ruprecht106 	   -1.680 	   17.130   +0.008   -0.008    	   0.637   +0.007   -0.007    	   0.316   +0.007   -0.007    	   10.082   +0.004   -0.004    	   12.071   +0.111   -0.109    	   0.571 
 Terzan7 	   -0.320 	   17.090   +0.014   -0.014    	   0.221   +0.008   -0.008    	   0.345   +0.005   -0.006    	   9.871   +0.007   -0.007    	   7.428   +0.113   -0.122    	   -0.572 
 Terzan8 	   -2.160 	   17.602   +0.007   -0.008    	   0.449   +0.004   -0.003    	   0.332   +0.007   -0.003    	   10.130   +0.000   -0.000    	   13.497   +0.003   -0.011    	   -0.003 
