# The final column indicates the type of data (RV/K18 are radial velocity dispersions - W15/GDR2 are proper motion dispersions). The proper motions from Watkins et al. and our Gaia proper motions were converted to km/sec using the cluster distances given in Baumgardt, Sollima, Hilker & Bellini (2019). If you use these profiles for your research, please give reference to these papers.

Cluster <r> NStar   σ   ΔσUp    ΔσLow   Type
Name    ['']  [km/sec]  [km/sec]    [km/sec]

NGC 5139        7.10 18.23  1.25  1.15  K18
NGC 5139        7.87 20.35  1.22  1.22  W15
NGC 5139        9.47 20.18  1.19  1.19  W15
NGC 5139       11.40 17.57  0.79  0.74  K18
NGC 5139       12.40 19.73  0.65  0.65  W15
NGC 5139       16.13 20.06  0.72  0.72  W15
NGC 5139       18.20 18.22  0.53  0.53  K18
NGC 5139       18.78 19.00  0.75  0.75  W15
NGC 5139       28.80 18.41  0.33  0.34  K18
NGC 5139       29.91 18.59  0.19  0.19  W15
NGC 5139       32.53 20.82  1.27  1.16   RV
NGC 5139       43.94 18.32  0.20  0.20  W15
NGC 5139       45.40 17.98  0.22  0.22  K18
NGC 5139       54.51 17.99  0.21  0.21  W15
NGC 5139       60.24 17.89  1.09  0.99   RV
NGC 5139       63.38 17.65  0.18  0.18  W15
NGC 5139       68.90 18.09  0.21  0.21  K18
NGC 5139       71.50 17.87  0.19  0.19  W15
NGC 5139       77.80 18.46  1.13  1.02   RV
NGC 5139       78.80 17.57  0.19  0.19  W15
NGC 5139       85.65 17.27  0.19  0.19  W15
NGC 5139       92.19 16.95  0.18  0.18  W15
NGC 5139       92.86 16.15  0.99  0.90   RV
NGC 5139       98.41 17.09  0.18  0.18  W15
NGC 5139      104.18 16.87  0.19  0.19  W15
NGC 5139      106.53 14.76  0.90  0.82   RV
NGC 5139      109.72 16.13  0.18  0.18  W15
NGC 5139      110.90 16.61  0.24  0.22  K18
NGC 5139      115.15 16.72  0.18  0.18  W15
NGC 5139      119.50 15.95  0.97  0.89   RV
NGC 5139      120.67 16.50  0.19  0.19  W15
NGC 5139      125.90 16.37  0.18  0.18  W15
NGC 5139      130.27 16.69  1.02  0.93   RV
NGC 5139      131.32 16.23  0.16  0.16  W15
NGC 5139      136.88 15.99  0.17  0.17  W15
NGC 5139      140.56 15.34  0.94  0.85   RV
NGC 5139      142.98 15.82  0.16  0.16  W15
NGC 5139      150.20 15.56  0.16  0.16  W15
NGC 5139      152.31 14.31  0.88  0.80   RV
NGC 5139      162.18 15.53  0.15  0.15  W15
NGC 5139      163.20 16.27  0.99  0.91   RV
NGC 5139      176.22 15.20  0.93  0.85   RV
NGC 5139      179.46 14.26  0.54  0.52  GDR2
NGC 5139      191.42 15.84  0.97  0.88   RV
NGC 5139      211.52 13.25  0.81  0.73   RV
NGC 5139      231.38 14.45  0.88  0.81   RV
NGC 5139      236.84 15.08  0.16  0.16  W15
NGC 5139      252.48 13.39  0.82  0.74   RV
NGC 5139      265.77 13.95  0.54  0.51  GDR2
NGC 5139      270.68 12.71  0.78  0.70   RV
NGC 5139      290.16 13.60  0.83  0.76   RV
NGC 5139      309.54 13.65  0.54  0.51  GDR2
NGC 5139      312.03 11.95  0.73  0.66   RV
NGC 5139      335.13 13.51  0.83  0.75   RV
NGC 5139      338.09 12.42  0.49  0.47  GDR2
NGC 5139      362.31 11.59  0.71  0.64   RV
NGC 5139      386.02 10.84  0.47  0.45  GDR2
NGC 5139      397.17 11.29  0.69  0.63   RV
NGC 5139      436.11 12.01  0.73  0.67   RV
NGC 5139      448.47 10.83  0.43  0.41  GDR2
NGC 5139      476.66 12.98  0.79  0.72   RV
NGC 5139      516.32 11.13  0.68  0.62   RV
NGC 5139      555.83 11.05  0.67  0.61   RV
NGC 5139      599.01 10.20  0.62  0.57   RV
NGC 5139      656.64  9.78  0.60  0.54   RV
NGC 5139      669.71  9.58  0.37  0.35  GDR2
NGC 5139      725.25  8.57  0.53  0.48   RV
NGC 5139      811.44 10.47  0.64  0.58   RV
NGC 5139      913.23  9.36  0.57  0.52   RV
NGC 5139     1055.29  8.13  0.50  0.46   RV
NGC 5139     1136.86  7.29  0.28  0.27  GDR2
NGC 5139     1344.30  7.69  0.47  0.43   RV
NGC 5139     1747.16  5.51  0.29  0.27  GDR2
NGC 5139     2012.25  6.62  0.51  0.45   RV
NGC 5272       11.21  6.61  0.65  0.56   RV
NGC 5272       34.79  5.88  0.57  0.50   RV
NGC 5272       66.98  6.63  0.64  0.56   RV
NGC 5272       80.15  6.87  0.46  0.42  GDR2
NGC 5272       99.67  5.88  0.57  0.50   RV
NGC 5272      130.90  6.00  0.44  0.40  GDR2
NGC 5272      139.18  5.66  0.55  0.48   RV
NGC 5272      175.45  4.83  0.38  0.35  GDR2
NGC 5272      186.08  4.51  0.44  0.38   RV
NGC 5272      232.85  4.52  0.38  0.35  GDR2
NGC 5272      255.34  4.08  0.40  0.34   RV
NGC 5272      317.79  3.83  0.51  0.46  GDR2
NGC 5272      345.48  4.34  0.42  0.36   RV
NGC 5272      511.39  2.56  0.25  0.22   RV
NGC 5272      891.15  2.29  0.24  0.21   RV
NGC 5286        5.60  9.18  0.59  0.54   RV
NGC 5286       10.86  8.99  0.57  0.52   RV
NGC 5286       14.86  9.82  0.63  0.57   RV
NGC 5286       19.30  8.27  0.53  0.49   RV
NGC 5286       23.82  9.06  0.58  0.53   RV
NGC 5286       29.22  8.49  0.55  0.50   RV
NGC 5286       38.25  7.21  0.47  0.42   RV
NGC 5286       75.13  6.97  0.72  0.65  GDR2
