# The final column indicates the type of data (RV/K18 are radial velocity dispersions - W15/GDR2 are proper motion dispersions). The proper motions from Watkins et al. and our Gaia proper motions were converted to km/sec using the cluster distances given in Baumgardt, Sollima, Hilker & Bellini (2019). If you use these profiles for your research, please give reference to these papers.

Cluster <r> NStar   σ   ΔσUp    ΔσLow   Type
Name    ['']  [km/sec]  [km/sec]    [km/sec]

NGC 6496      148.76  1.79  0.51  0.53  GDR2
NGC 6496      260.64  1.49  0.32  0.26   RV
NGC 6517        7.27 10.25  2.26  1.67   RV
NGC 6517       40.09  8.53  1.42  1.28  GDR2
NGC 6517       88.13  6.83  1.45  1.35  GDR2
NGC 6517      108.83  4.87  1.16  0.90   RV
NGC 6517      165.58  6.95  2.67  2.51  GDR2
NGC 6522       10.41  9.60  0.66  0.60   RV
NGC 6522       19.13  8.31  0.57  0.52   RV
NGC 6522       27.03  7.95  0.55  0.50   RV
NGC 6522       48.90  6.88  0.48  0.43   RV
NGC 6522       58.54  6.78  0.81  0.73  GDR2
NGC 6522      129.52  5.01  0.76  0.68  GDR2
NGC 6522      135.86  5.07  1.35  0.95   RV
NGC 6528        8.30  4.09  0.44  0.39   RV
NGC 6528       18.27  4.58  0.48  0.42   RV
NGC 6528       25.17  4.63  0.47  0.41   RV
NGC 6528       51.24  4.21  0.50  0.42   RV
NGC 6528       62.37  5.02  1.27  1.10  GDR2
NGC 6535       46.20  2.67  0.53  0.49  GDR2
NGC 6535       50.14  2.10  0.42  0.31   RV
NGC 6535      157.84  1.69  0.50  0.35   RV
NGC 6539       41.71  5.83  0.75  0.63   RV
NGC 6539       59.65  5.04  0.99  0.92  GDR2
NGC 6539       92.20  5.27  0.67  0.56   RV
NGC 6539      177.50  4.98  0.96  0.88  GDR2
NGC 6539      222.11  3.88  0.48  0.41   RV
NGC 6540       73.40  2.67  0.67  0.62  GDR2
NGC 6540       82.59  3.06  0.52  0.42   RV
NGC 6541       10.10  8.40  0.99  0.83   RV
NGC 6541       61.93  6.28  0.75  0.62   RV
NGC 6541       73.86  5.73  0.45  0.41  GDR2
NGC 6541      130.21  5.14  0.42  0.39  GDR2
NGC 6541      138.92  4.96  0.58  0.49   RV
NGC 6541      216.30  4.29  0.42  0.39  GDR2
NGC 6541      225.61  4.97  0.59  0.49   RV
NGC 6541      383.12  3.51  0.58  0.47   RV
NGC 6544       48.08  6.02  0.54  0.48  GDR2
NGC 6544       83.55  5.32  0.81  0.65   RV
NGC 6544       90.04  5.67  0.53  0.46  GDR2
NGC 6544      147.92  5.16  0.52  0.45  GDR2
NGC 6544      264.89  4.12  0.73  0.57   RV
NGC 6553       13.93  6.84  0.51  0.46   RV
NGC 6553       30.06  6.97  0.51  0.46   RV
NGC 6553       62.60  6.81  0.57  0.52  GDR2
NGC 6553       66.20  7.11  0.51  0.46   RV
NGC 6553      111.11  6.24  0.53  0.49  GDR2
NGC 6553      126.61  6.34  0.46  0.41   RV
NGC 6553      189.68  6.35  0.56  0.52  GDR2
NGC 6553      234.13  5.80  0.51  0.45   RV
NGC 6558       39.08  3.52  0.57  0.51  GDR2
NGC 6558       47.71  2.91  0.56  0.44   RV
NGC 6558      112.48  2.06  0.74  0.67  GDR2
NGC 6569       30.68  5.83  0.65  0.56   RV
NGC 6569       60.11  4.39  0.58  0.54  GDR2
NGC 6569       74.61  4.89  0.55  0.47   RV
NGC 6569      134.00  5.12  0.57  0.48   RV
NGC 6569      159.22  4.60  0.61  0.57  GDR2
NGC 6569      217.26  4.58  0.91  0.69   RV
NGC 6584       12.34  3.54  0.65  0.52   RV
NGC 6624        4.14  7.71  0.80  0.80  W15
NGC 6624        4.27  6.48  0.76  0.64   RV
NGC 6624        6.71  6.57  0.70  0.70  W15
NGC 6624        8.97  6.79  0.71  0.71  W15
NGC 6624        9.69  7.16  0.83  0.71   RV
NGC 6624       11.95  6.51  0.35  0.35  W15
NGC 6624       14.65  6.25  0.73  0.62   RV
NGC 6624       15.04  6.34  0.39  0.39  W15
NGC 6624       18.36  5.92  0.32  0.32  W15
NGC 6624       19.69  6.08  0.71  0.60   RV
NGC 6624       20.63  5.84  0.39  0.39  W15
NGC 6624       22.36  6.37  0.38  0.38  W15
NGC 6624       24.24  6.22  0.39  0.39  W15
NGC 6624       25.27  5.40  0.63  0.54   RV
NGC 6624       26.50  5.66  0.37  0.37  W15
NGC 6624       28.49  5.31  0.35  0.35  W15
NGC 6624       30.42  5.67  0.37  0.37  W15
NGC 6624       32.23  5.61  0.43  0.43  W15
NGC 6624       34.41  5.71  0.42  0.42  W15
NGC 6624       36.02  4.85  0.58  0.49   RV
NGC 6624       36.69  5.76  0.38  0.38  W15
NGC 6624       39.46  5.47  0.39  0.39  W15
NGC 6624       41.87  4.56  0.39  0.39  W15
NGC 6624       43.88  5.52  0.60  0.55  GDR2
NGC 6624       44.56  4.79  0.36  0.36  W15
NGC 6624       47.22  5.12  0.36  0.36  W15
NGC 6624       50.25  5.26  0.35  0.35  W15
NGC 6624       53.20  4.70  0.36  0.36  W15
NGC 6624       56.91  4.96  0.37  0.37  W15
NGC 6624       60.78  4.50  0.33  0.33  W15
NGC 6624       64.87  5.06  0.36  0.36  W15
NGC 6624       70.13  3.79  0.27  0.27  W15
NGC 6624       75.69  3.48  0.43  0.36   RV
NGC 6624       79.03  2.99  0.51  0.47  GDR2
NGC 6624       79.59  4.62  0.34  0.34  W15
NGC 6624      126.86  4.03  0.62  0.57  GDR2
NGC 6624      144.38  2.53  0.70  0.51   RV
NGC 6626       45.00  8.35  0.92  0.78   RV
NGC 6626       52.79  8.34  0.55  0.51  GDR2
NGC 6626       93.37  7.67  0.58  0.53  GDR2
NGC 6626      107.01  7.53  0.83  0.70   RV
NGC 6626      124.72  6.82  0.55  0.50  GDR2
NGC 6626      155.61  7.06  0.53  0.49  GDR2
NGC 6626      170.47  6.18  0.68  0.58   RV
NGC 6626      195.43  5.67  0.51  0.47  GDR2
NGC 6626      240.73  5.39  0.55  0.51  GDR2
NGC 6626      304.88  4.87  0.61  0.50   RV
NGC 6626      305.49  4.74  0.59  0.52  GDR2
NGC 6637        7.92  5.80  0.88  0.71   RV
NGC 6637       41.84  5.94  0.63  0.56  GDR2
NGC 6637       62.24  5.71  0.88  0.72   RV
NGC 6637       71.60  4.18  0.62  0.57  GDR2
NGC 6637      103.94  4.72  0.62  0.56  GDR2
NGC 6637      151.43  3.68  0.69  0.62  GDR2
NGC 6638       45.80  5.81  0.62  0.57  GDR2
NGC 6638       63.51  4.11  1.43  0.91   RV
NGC 6638      104.14  5.08  0.81  0.75  GDR2
NGC 6642       41.45  3.62  0.80  0.61   RV
NGC 6642       54.86  4.48  0.55  0.46  GDR2
NGC 6652       12.39  4.14  0.59  0.50   RV
NGC 6652       38.66  4.01  0.60  0.53  GDR2
NGC 6652       83.21  3.32  0.71  0.60  GDR2
NGC 6656        2.86  9.05  0.86  0.86  W15
NGC 6656        5.39  8.66  0.70  0.70  W15
NGC 6656        7.34  8.70  0.78  0.78  W15
NGC 6656        9.04  8.59  0.66  0.66  W15
NGC 6656       11.93  9.34  0.41  0.41  W15
NGC 6656       15.68  9.12  0.42  0.42  W15
NGC 6656       16.24  8.35  0.35  0.33   RV
NGC 6656       18.69  9.07  0.40  0.40  W15
NGC 6656       23.00  8.98  0.22  0.22  W15
NGC 6656       28.26  8.54  0.24  0.24  W15
NGC 6656       29.61  8.25  0.34  0.32   RV
NGC 6656       33.26  8.98  0.26  0.26  W15
NGC 6656       37.82  8.79  0.22  0.22  W15
NGC 6656       39.32  8.94  0.38  0.35   RV
NGC 6656       42.10  8.79  0.26  0.26  W15
NGC 6656       46.16  8.31  0.26  0.26  W15
NGC 6656       47.07  8.18  0.35  0.32   RV
NGC 6656       50.08  8.43  0.24  0.24  W15
NGC 6656       53.64  8.87  0.21  0.21  W15
NGC 6656       56.73  8.03  0.34  0.32   RV
NGC 6656       57.13  8.49  0.24  0.24  W15
NGC 6656       60.79  8.66  0.26  0.26  W15
NGC 6656       64.52  8.00  0.22  0.22  W15
NGC 6656       68.16  8.69  0.22  0.22  W15
NGC 6656       71.98  8.39  0.27  0.27  W15
NGC 6656       75.71  8.02  0.23  0.23  W15
NGC 6656       76.63  7.54  0.65  0.57   RV
NGC 6656       79.21  8.24  0.23  0.23  W15
NGC 6656       83.29  7.97  0.22  0.22  W15
NGC 6656       88.26  8.55  0.26  0.26  W15
NGC 6656       94.30  8.26  0.28  0.28  W15
NGC 6656      101.90  8.40  0.25  0.25  W15
NGC 6656      106.85  8.42  0.72  0.63   RV
NGC 6656      111.92  7.65  0.20  0.18  GDR2
NGC 6656      115.24  7.75  0.23  0.23  W15
NGC 6656      138.93  7.90  0.67  0.59   RV
NGC 6656      172.13  7.03  0.60  0.53   RV
NGC 6656      180.88  7.52  0.20  0.19  GDR2
NGC 6656      213.94  6.46  0.56  0.48   RV
NGC 6656      227.84  6.74  0.18  0.18  GDR2
NGC 6656      269.84  6.79  0.58  0.52   RV
NGC 6656      272.97  6.45  0.18  0.18  GDR2
NGC 6656      320.30  6.29  0.18  0.18  GDR2
NGC 6656      372.12  5.89  0.17  0.17  GDR2
NGC 6656      373.10  5.46  0.47  0.42   RV
NGC 6656      431.39  5.57  0.17  0.15  GDR2
NGC 6656      503.28  5.32  0.16  0.16  GDR2
NGC 6656      531.33  5.76  0.51  0.44   RV
NGC 6656      597.30  4.73  0.15  0.15  GDR2
NGC 6656      727.67  4.34  0.15  0.15  GDR2
NGC 6656      995.49  3.95  0.41  0.35   RV
NGC 6681        1.90  8.28  0.83  0.83  W15
NGC 6681        2.93  7.15  0.68  0.68  W15
NGC 6681        3.70  8.45  0.81  0.75  K18
NGC 6681        3.93  6.96  0.68  0.68  W15
NGC 6681        4.65  6.39  0.55  0.55  W15
NGC 6681        5.94  7.24  0.38  0.38  W15
NGC 6681        7.50  8.01  0.62  0.59  K18
NGC 6681        7.57  6.44  0.32  0.32  W15
NGC 6681        9.16  5.99  0.31  0.31  W15
NGC 6681        9.18  5.55  0.98  0.78   RV
NGC 6681       11.78  6.71  0.23  0.23  W15
NGC 6681       11.90  6.60  0.35  0.33  K18
NGC 6681       15.04  6.21  0.21  0.21  W15
NGC 6681       18.28  6.81  0.22  0.22  W15
NGC 6681       18.70  6.14  0.21  0.21  K18
NGC 6681       21.08  5.79  0.23  0.23  W15
NGC 6681       23.28  6.14  0.26  0.26  W15
NGC 6681       25.45  6.11  0.24  0.24  W15
NGC 6681       27.58  5.54  0.25  0.25  W15
NGC 6681       28.30  5.39  0.17  0.16  K18
NGC 6681       29.53  5.80  0.23  0.23  W15
NGC 6681       31.69  5.64  0.24  0.24  W15
NGC 6681       33.93  5.47  0.24  0.24  W15
NGC 6681       36.18  5.51  0.22  0.22  W15
NGC 6681       38.45  5.46  0.21  0.21  W15
NGC 6681       38.80  5.20  0.57  0.53  K18
NGC 6681       40.92  5.30  0.23  0.23  W15
NGC 6681       43.77  5.18  0.22  0.22  W15
NGC 6681       47.09  4.89  0.17  0.17  W15
NGC 6681       50.84  5.05  0.20  0.20  W15
NGC 6681       53.01  5.13  0.50  0.46  GDR2
NGC 6681       54.63  4.72  0.19  0.19  W15
NGC 6681       58.94  4.70  0.22  0.22  W15
NGC 6681       64.03  4.44  0.18  0.18  W15
NGC 6681       69.67  4.20  0.16  0.16  W15
NGC 6681       75.32  4.10  0.18  0.18  W15
NGC 6681       81.99  4.04  0.19  0.19  W15
NGC 6681       96.45  4.06  0.18  0.18  W15
NGC 6681      138.12  3.20  0.54  0.53  GDR2
NGC 6681      141.69  4.51  0.77  0.61   RV
NGC 6712       34.20  4.61  0.51  0.44   RV
NGC 6712       42.47  4.12  0.32  0.29  GDR2
NGC 6712       62.06  3.77  0.43  0.36   RV
NGC 6712       85.32  4.04  0.33  0.30  GDR2
NGC 6712       97.74  4.09  0.46  0.40   RV
NGC 6712      137.84  3.85  0.32  0.29  GDR2
NGC 6712      148.78  3.61  0.41  0.34   RV
NGC 6712      246.75  3.10  0.39  0.35  GDR2
NGC 6712      250.75  2.78  0.55  0.43   RV
NGC 6715        6.83 17.25  1.85  1.85  W15
NGC 6715        7.59 16.45  1.09  0.98   RV
NGC 6715        9.23 17.46  1.74  1.74  W15
NGC 6715       12.23 15.59  0.97  0.97  W15
NGC 6715       14.31 17.11  1.12  1.02   RV
NGC 6715       15.54 16.07  0.92  0.92  W15
NGC 6715       18.38 14.90  0.76  0.76  W15
NGC 6715       19.77 13.95  0.92  0.83   RV
NGC 6715       21.82 13.40  0.63  0.63  W15
NGC 6715       24.70 14.62  0.63  0.63  W15
NGC 6715       27.17 15.41  0.67  0.67  W15
NGC 6715       28.23 13.34  0.88  0.79   RV
NGC 6715       29.00 15.74  0.67  0.67  W15
NGC 6715       30.77 15.98  0.66  0.66  W15
NGC 6715       32.55 13.34  0.52  0.52  W15
NGC 6715       34.17 14.74  0.61  0.61  W15
NGC 6715       35.81 12.83  0.55  0.55  W15
NGC 6715       37.53 13.09  0.52  0.52  W15
NGC 6715       39.29 12.62  0.54  0.54  W15
NGC 6715       41.04 12.81  0.53  0.53  W15
NGC 6715       42.82 11.63  0.55  0.55  W15
NGC 6715       44.69 12.01  0.79  0.71   RV
NGC 6715       44.90 11.63  0.57  0.57  W15
NGC 6715       47.28 11.90  0.52  0.52  W15
NGC 6715       50.25 10.68  0.49  0.49  W15
NGC 6715       53.47 10.90  0.43  0.43  W15
NGC 6715       56.61 12.89  1.99  1.75  GDR2
NGC 6715       57.24  9.14  0.45  0.45  W15
NGC 6715       62.35 10.79  0.48  0.48  W15
NGC 6715       67.21 12.19  0.81  0.72   RV
NGC 6715       69.60 10.80  0.44  0.44  W15
NGC 6715       81.76  9.82  0.43  0.43  W15
NGC 6715       97.63  9.39  0.62  0.56   RV
NGC 6715      127.22  8.08  2.02  1.82  GDR2
NGC 6715      137.50  8.61  0.57  0.52   RV
NGC 6715      235.22  7.02  0.46  0.42   RV
NGC 6715      420.86  8.57  0.56  0.51   RV
NGC 6715      657.25  8.96  1.09  0.92   RV
NGC 6717       11.20  3.09  0.69  0.53   RV
NGC 6717       66.56  2.65  0.39  0.36  GDR2
NGC 6723       26.67  5.58  0.54  0.47   RV
NGC 6723       54.55  4.68  0.43  0.39  GDR2
NGC 6723       69.25  4.13  0.40  0.35   RV
NGC 6723      103.38  4.74  0.46  0.40   RV
NGC 6723      146.38  4.52  0.46  0.42  GDR2
NGC 6723      148.20  4.43  0.43  0.37   RV
NGC 6723      194.87  3.22  0.32  0.28   RV
NGC 6723      305.86  2.90  0.34  0.29   RV
NGC 6749      119.06  2.63  0.93  0.72   RV
NGC 6749      129.61  4.28  1.78  1.72  GDR2
NGC 6752        2.74  7.70  0.81  0.81  W15
NGC 6752        5.73  7.78  0.66  0.66  W15
NGC 6752        8.05  6.80  0.64  0.64  W15
NGC 6752        9.30  8.51  0.64  0.64  W15
NGC 6752       12.04  7.97  0.35  0.35  W15
NGC 6752       13.80  7.90  0.41  0.38   RV
NGC 6752       15.31  8.07  0.35  0.35  W15
NGC 6752       18.57  8.24  0.35  0.35  W15
NGC 6752       22.26  8.29  0.27  0.27  W15
NGC 6752       26.45  8.23  0.27  0.27  W15
NGC 6752       29.24  8.37  0.43  0.41   RV
NGC 6752       30.86  8.21  0.28  0.28  W15
NGC 6752       34.54  7.92  0.27  0.27  W15
NGC 6752       38.28  8.05  0.31  0.31  W15
NGC 6752       41.12  7.14  0.38  0.34   RV
NGC 6752       42.39  7.56  0.24  0.24  W15
NGC 6752       46.42  7.59  0.25  0.25  W15
NGC 6752       50.80  7.87  0.24  0.24  W15
NGC 6752       54.90  7.71  0.22  0.22  W15
NGC 6752       55.02  7.29  0.38  0.35   RV
NGC 6752       59.52  7.38  0.22  0.22  W15
NGC 6752       64.36  7.23  0.24  0.24  W15
NGC 6752       69.04  7.04  0.23  0.23  W15
NGC 6752       73.83  7.08  0.23  0.23  W15
NGC 6752       75.58  6.57  0.34  0.31   RV
NGC 6752       77.98  6.66  0.20  0.20  W15
NGC 6752       82.93  6.35  0.20  0.20  W15
NGC 6752       87.73  6.66  0.22  0.22  W15
NGC 6752       92.84  7.11  0.25  0.25  W15
NGC 6752       95.30  5.99  0.31  0.28   RV
NGC 6752       98.79  6.39  0.22  0.22  W15
NGC 6752      101.77  5.84  0.22  0.21  GDR2
NGC 6752      105.69  6.63  0.23  0.23  W15
NGC 6752      105.81  5.87  0.41  0.36   RV
NGC 6752      119.75  6.16  0.18  0.18  W15
NGC 6752      122.25  6.29  0.44  0.40   RV
NGC 6752      152.92  5.25  0.36  0.33   RV
NGC 6752      156.71  6.04  0.23  0.21  GDR2
NGC 6752      189.34  5.53  0.39  0.34   RV
NGC 6752      193.52  5.25  0.20  0.19  GDR2
NGC 6752      227.93  5.17  0.20  0.19  GDR2
NGC 6752      230.77  5.24  0.36  0.33   RV
NGC 6752      258.40  4.52  0.18  0.17  GDR2
NGC 6752      267.26  5.26  0.36  0.33   RV
NGC 6752      291.63  4.43  0.17  0.17  GDR2
NGC 6752      305.42  3.83  0.27  0.24   RV
NGC 6752      353.10  4.61  0.33  0.29   RV
NGC 6752      416.10  4.03  0.28  0.26   RV
NGC 6752      461.19  4.01  0.16  0.15  GDR2
NGC 6752      497.92  3.39  0.24  0.22   RV
NGC 6752      676.38  3.11  0.24  0.22   RV
NGC 6752     1014.80  2.73  0.26  0.23   RV
NGC 6760        8.99  6.30  0.86  0.72   RV
NGC 6760       76.65  6.37  0.61  0.56  GDR2
NGC 6760       84.34  6.12  0.93  0.76   RV
NGC 6760      127.17  5.24  0.74  0.66  GDR2
NGC 6779       51.82  4.76  0.53  0.46  GDR2
NGC 6779       95.42  4.43  0.65  0.56   RV
NGC 6779      106.34  3.29  0.47  0.41  GDR2
NGC 6779      155.98  3.64  0.49  0.43  GDR2
NGC 6779      169.63  4.06  0.59  0.49   RV
NGC 6809       43.02  4.17  0.36  0.32   RV
NGC 6809       72.37  4.70  0.23  0.22  GDR2
NGC 6809      102.34  4.28  0.36  0.32   RV
NGC 6809      131.36  4.44  0.23  0.22  GDR2
NGC 6809      154.83  3.84  0.33  0.29   RV
NGC 6809      180.24  3.77  0.22  0.21  GDR2
NGC 6809      208.50  4.20  0.36  0.32   RV
NGC 6809      238.31  4.08  0.23  0.21  GDR2
NGC 6809      284.18  3.63  0.32  0.27   RV
NGC 6809      312.96  3.46  0.22  0.21  GDR2
NGC 6809      427.43  3.38  0.29  0.26   RV
NGC 6809      448.42  3.16  0.27  0.25  GDR2
NGC 6809      679.15  2.50  0.46  0.37   RV
NGC 6838       31.92  3.22  0.32  0.28   RV
NGC 6838       44.23  3.15  0.19  0.17  GDR2
NGC 6838       82.98  2.61  0.16  0.15  GDR2
NGC 6838       94.63  2.76  0.26  0.22   RV
NGC 6838      111.57  2.88  0.18  0.17  GDR2
NGC 6838      148.45  2.70  0.21  0.19  GDR2
NGC 6838      210.38  2.38  0.23  0.20   RV
NGC 6838      441.99  1.86  0.37  0.28   RV
NGC 6864       51.17  6.37  1.17  0.93   RV
NGC 6864       82.19  4.38  0.82  0.79  GDR2
NGC 6864      131.06  4.64  0.88  0.68   RV
NGC 6934       22.35  3.82  0.63  0.50   RV
NGC 6934       87.75  3.71  0.57  0.49  GDR2
NGC 6934      106.85  3.29  0.55  0.43   RV
NGC 6934      296.20  1.90  0.51  0.36   RV
NGC 6981        9.70  3.01  0.48  0.40   RV
NGC 6981       55.86  3.48  0.95  0.78  GDR2
NGC 6981       56.00  2.92  0.45  0.37   RV
NGC 7006       11.63  3.54  0.73  0.58   RV
NGC 7006       50.76  2.98  0.61  0.47   RV
NGC 7078        2.90 14.00  1.19  1.06  K18
NGC 7078        3.81 12.91  1.03  0.92   RV
NGC 7078        5.70 12.78  0.96  0.86  K18
NGC 7078        7.95  8.82  0.89  0.89  W15
NGC 7078        9.10 12.48  0.65  0.60  K18
NGC 7078        9.72 11.47  0.92  0.81   RV
NGC 7078       13.51  9.61  0.51  0.51  W15
NGC 7078       14.26 12.96  1.02  0.91   RV
NGC 7078       14.40 12.73  0.44  0.43  K18
NGC 7078       17.15 11.22  0.63  0.63  W15
NGC 7078       17.87 13.02  1.02  0.91   RV
NGC 7078       19.11 11.01  0.64  0.64  W15
NGC 7078       22.70 11.20  0.28  0.27  K18
NGC 7078       23.10 11.30  0.31  0.31  W15
NGC 7078       25.24 10.77  0.86  0.76   RV
NGC 7078       27.99 10.88  0.27  0.27  W15
NGC 7078       32.29 10.56  0.31  0.31  W15
NGC 7078       34.36 10.41  0.83  0.73   RV
NGC 7078       36.00 10.17  0.20  0.19  K18
NGC 7078       36.74  9.81  0.24  0.24  W15
NGC 7078       40.30  9.73  0.25  0.25  W15
NGC 7078       43.51  9.57  0.27  0.27  W15
NGC 7078       46.21  9.08  0.72  0.64   RV
NGC 7078       46.45  9.43  0.26  0.26  W15
NGC 7078       49.50  9.11  0.24  0.24  W15
NGC 7078       52.20  8.98  0.20  0.20  K18
NGC 7078       52.46  9.29  0.27  0.27  W15
NGC 7078       55.45  9.03  0.29  0.29  W15
NGC 7078       58.69  9.17  0.23  0.23  W15
NGC 7078       60.04  8.06  0.64  0.57   RV
NGC 7078       60.51  7.32  0.65  0.58  GDR2
NGC 7078       61.77  8.60  0.26  0.26  W15
NGC 7078       64.98  8.16  0.25  0.25  W15
NGC 7078       68.41  8.39  0.24  0.24  W15
NGC 7078       71.58  8.76  0.25  0.25  W15
NGC 7078       75.12  7.90  0.22  0.22  W15
NGC 7078       75.26  7.70  0.62  0.55   RV
NGC 7078       79.13  7.82  0.21  0.21  W15
NGC 7078       83.42  7.61  0.22  0.22  W15
NGC 7078       88.57  8.01  0.23  0.23  W15
NGC 7078       91.13  8.05  0.73  0.66  GDR2
NGC 7078      100.88  7.33  0.21  0.21  W15
NGC 7078      112.72  6.54  0.52  0.46   RV
NGC 7078      120.23  6.66  0.66  0.59  GDR2
NGC 7078      151.57  7.18  0.69  0.62  GDR2
NGC 7078      178.88  4.76  0.37  0.33   RV
NGC 7078      198.28  5.68  0.58  0.51  GDR2
NGC 7078      278.66  4.32  0.56  0.53  GDR2
NGC 7078      299.48  3.48  0.28  0.24   RV
NGC 7078      518.02  2.64  0.50  0.47  GDR2
NGC 7078      568.40  3.17  0.34  0.29   RV
NGC 7089        3.50 12.35  1.02  0.97  K18
NGC 7089        7.10 10.83  0.81  0.76  K18
NGC 7089       11.40 10.25  0.43  0.43  K18
NGC 7089       11.62  9.97  0.61  0.56   RV
NGC 7089       17.90 10.64  0.32  0.31  K18
NGC 7089       18.49  9.32  0.57  0.52   RV
NGC 7089       24.86  9.96  0.61  0.55   RV
NGC 7089       28.50  9.75  0.20  0.21  K18
NGC 7089       31.10 10.56  0.65  0.59   RV
NGC 7089       37.52  9.55  0.59  0.53   RV
NGC 7089       43.72  9.04  0.56  0.50   RV
NGC 7089       44.40  8.96  0.14  0.14  K18
NGC 7089       51.54  9.51  0.59  0.53   RV
NGC 7089       60.30  8.18  0.27  0.27  K18
NGC 7089       64.02  8.76  0.78  0.68   RV
NGC 7089       67.15  9.11  0.55  0.51  GDR2
NGC 7089      106.45  8.17  0.72  0.63   RV
NGC 7089      109.98  6.76  0.48  0.45  GDR2
NGC 7089      150.73  5.72  0.49  0.46  GDR2
NGC 7089      169.09  7.40  0.66  0.58   RV
NGC 7089      211.06  5.64  0.50  0.46  GDR2
NGC 7089      254.00  5.41  0.49  0.42   RV
NGC 7089      357.16  4.35  0.53  0.50  GDR2
NGC 7089      432.77  4.40  0.41  0.36   RV
NGC 7089      623.73  4.07  0.64  0.52   RV
NGC 7099        8.12  5.77  0.31  0.29   RV
NGC 7099       21.28  5.62  0.30  0.29   RV
NGC 7099       38.97  4.88  0.28  0.25   RV
NGC 7099       59.21  4.54  0.36  0.33   RV
NGC 7099       81.15  4.46  0.41  0.38  GDR2
NGC 7099       92.92  3.60  0.28  0.26   RV
NGC 7099      130.86  3.45  0.27  0.25   RV
NGC 7099      175.62  3.23  0.26  0.24   RV
NGC 7099      243.51  2.75  0.24  0.21   RV
NGC 7099      289.60  1.45  0.46  0.52  GDR2
NGC 7099      336.77  2.37  0.20  0.18   RV
NGC 7099      554.68  2.41  0.39  0.32   RV
NGC 7492       35.21  1.27  0.29  0.22   RV
NGC 7492       79.80  1.32  0.33  0.24   RV
Pal 1          43.11  0.46  0.28  0.18   RV
Pal 2          58.86  3.99  0.95  0.72   RV
Pal 3          23.23  1.60  0.42  0.33   RV
Pal 4          26.71  0.88  0.20  0.17   RV
Pal 5          89.26  0.89  0.21  0.16   RV
Pal 5         216.40  1.42  0.29  0.23   RV
Pal 5         563.03  1.65  0.48  0.35   RV
Pal 6          56.99  5.26  1.64  1.72  GDR2
Pal 6          99.85  4.56  1.19  0.88   RV
Pal 8          61.86  2.44  0.77  0.85  GDR2
Pal 10         71.84  3.29  0.92  0.90  GDR2
Pal 11         34.50  0.00  1.84  0.00  GDR2
Pal 11         71.82  1.78  1.22  1.78   RV
Pal 12         74.41  0.88  0.29  0.24   RV
Pal 13         44.08  0.99  0.25  0.19   RV
Pal 14         77.12  0.71  0.18  0.14   RV
Pal 15         66.72  1.94  1.09  0.66   RV
Pyxis          65.12  1.24  0.23  0.18   RV
Pyxis         193.45  0.87  0.22  0.17   RV
Rup 106        70.37  1.62  0.44  0.33   RV
Rup 106       142.34  1.53  0.40  0.30   RV
Ter 1          27.55  6.74  1.21  0.94   RV
Ter 1          35.77  7.49  1.65  1.45  GDR2
Ter 1          68.86  6.22  1.54  1.32  GDR2
Ter 2          47.75  2.49  1.03  0.69   RV
Ter 3          64.02  2.75  0.97  1.01  GDR2
Ter 3          72.08  2.15  0.50  0.39   RV
Ter 4          10.06  3.93  1.35  0.92   RV
Ter 4          38.94  0.00  2.67  0.00  GDR2
Ter 5          25.39 16.99  1.29  1.15   RV
Ter 5          54.28 16.14  1.23  1.10   RV
Ter 5          58.30 12.41  2.28  2.00  GDR2
Ter 5          68.41 14.34  1.10  0.98   RV
Ter 5          91.16  9.96  2.54  2.15  GDR2
Ter 5          91.74 11.35  0.88  0.79   RV
Ter 5         163.10 10.08  1.30  1.08   RV
Ter 6          37.79  4.92  1.34  0.95   RV
Ter 7          35.39  0.99  0.23  0.18   RV
Ter 7          98.29  0.50  0.14  0.12   RV
Ter 8          71.57  1.37  0.21  0.19   RV
Ter 8         194.01  1.22  0.23  0.20   RV
Ter 9          13.34  4.36  0.50  0.42   RV
Ter 9          35.24  2.88  1.33  1.73  GDR2
Ter 9          39.14  4.63  0.53  0.45   RV
Ter 12         87.66  1.73  0.87  0.59   RV
Ton 2          92.45  2.85  0.81  0.63   RV
UKS 1          10.34  7.03  3.40  2.10   RV
VVV-CL001      12.94  4.45  0.88  0.70   RV
